Diagnosis,Number,
37762,3,"37762 = ""37762: VIS PATH DIS W VASC DIS"""
37761,3,"37761 = ""37761: VIS PATH DIS W NEOPLASMS"""
76501,3,"76501 = ""76501: EXTREME IMMATUR <500G (Begin 1988)"""
60090,3,"60090 = ""60090: HYPERPLASIA OF PROSTATE- UNSPECIFIED- WITHOUT (Begin 2003)"""
E9310,3,#N/A
99880,3,#N/A
9340,3,#N/A
86503,3,#N/A
40301,3,"40301 = ""40301: MAL HYP REN W RENAL FAIL (Begin 1989)"""
3321,3,"3321  = ""3321 : SECONDARY PARKINSONISM"""
E9554,3,#N/A
E9551,3,#N/A
29635,3,"29635 = ""29635: RECUR DEPR PSYC-PART REM"""
V5332,3,#N/A
51900,3,"51900 = ""51900: TRACHEOST COMPL UNSP (Begin 1998)"""
36922,3,"36922 = ""36922: SEVERE IMPAIR-BOTH EYES"""
5288,3,"5288  = ""5288 : ORAL SUBMUCOSAL FIBROSIS"""
37214,3,"37214 = ""37214: CHR ALLRG CONJUNCTIV NEC"""
8605,3,#N/A
99589,3,#N/A
2983,3,"2983  = ""2983 : ACUTE PARANOID REACTION"""
4351,3,"4351  = ""4351 : VERTEBRAL ARTERY SYNDROM"""
85306,3,#N/A
76526,3,"76526 = ""76526: 31-32 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
28866,3,"28866 = ""28866: BANDEMIA (Begin 2007)"""
7822,3,"7822  = ""7822 : LOCAL SUPRFICIAL SWELLNG"""
1955,3,"1955  = ""1955 : MALIGN NEOPL LEG"""
1482,3,"01482 = ""01482: INTEST TB NEC-EXAM UNKN"""
1480,3,"01480 = ""01480: INTESTINAL TB NEC-UNSPEC"""
36601,3,"36601 = ""36601: ANT SUBCAPS POL CATARACT"""
82381,3,#N/A
7566,3,"7566  = ""7566 : ANOMALIES OF DIAPHRAGM"""
E8769,3,#N/A
31381,3,"31381 = ""31381: OPPOSITIONAL DISORDER"""
73320,3,"73320 = ""73320: CYST OF BONE NOS"""
7021,3,"07021 = ""07021: VRL HEPAT B CM W DELTA (Begin 1991)"""
37723,3,"37723 = ""37723: COLOBOMA OF OPTIC DISC"""
7797,3,"7797  = ""7797 : PREVENTRICULAR LEUKOMALACIA (Begin 2001)"""
60783,3,"60783 = ""60783: EDEMA OF PENIS"""
E9356,3,#N/A
80190,3,"80190 = ""80190: OP SK BASE FX/BR INJ NEC"""
80196,3,"80196 = ""80196: OPN SKL BASE FX-COMA NOS"""
82020,3,#N/A
7093,3,"7093  = ""7093 : DEGENERATIVE SKIN DISORD"""
9519,3,#N/A
4559,3,"4559  = ""4559 : RESIDUAL HEMORRHOID TAGS"""
4557,3,"4557  = ""4557 : THROMBOS HEMORRHOIDS NOS"""
4555,3,"4555  = ""4555 : EXT HEMRRHOID W COMP NEC"""
85240,3,#N/A
85241,3,#N/A
46431,3,"46431 = ""46431: AC EPIGLOTTITIS W OBSTR"""
56985,3,"56985 = ""56985: ANGIO INTES W HMRHG (Begin 1991)"""
27903,3,"27903 = ""27903: SELECTIVE IG DEFIC NEC"""
80500,3,#N/A
80056,3,"80056 = ""80056: OPN SKUL VLT FX-COMA NOS"""
80508,3,#N/A
6071,3,"6071  = ""6071 : BALANOPOSTHITIS"""
V714,3,#N/A
V860,3,#N/A
V711,3,#N/A
30481,3,"30481 = ""30481: COMB DRUG DEP NEC-CONTIN"""
37871,3,"37871 = ""37871: DUANE-s SYNDROME"""
38102,3,"38102 = ""38102: AC MUCOID OTITIS MEDIA"""
2370,3,"2370  = ""2370 : UNC BEHAV NEO PITUITARY"""
3841,3,"03841 = ""03841: H. INFLUENAE SEPTICEMIA"""
4941,3,"4941  = ""4941 : BRONCHIECTASIS W/ACUTE EXACERBATION (Begin 2000)"""
1195,3,"01195 = ""01195: PULMON TB NOS-HISTO DX"""
1196,3,"01196 = ""01196: PULMON TB NOS-OTH TEST"""
36421,3,"36421 = ""36421: FUCH HETROCHROM CYCLITIS"""
80316,3,"80316 = ""80316: CL SKULL FX NEC-COMA NOS"""
6860,3,"6860  = ""6860 : PYODERMA (End 1997)"""
29699,3,"29699 = ""29699: AFFECTIVE PSYCHOSES NEC"""
73810,3,"73810 = ""73810: ACQ HEAD DEFORM NOS (Begin 1992)"""
78799,3,"78799 = ""78799: OTHER GI SYMPTOMS (Begin 1995)"""
59971,3,"59971 = ""59971: GROSS HEMATURIA (Begin 2008)"""
25030,3,"25030 = ""25030: DIABETES COMA NEC TYP II"""
2589,3,"2589  = ""2589 : POLYGLANDUL DYSFUNC NOS"""
80071,3,"80071 = ""80071: OPN SKUL VLT FX W/O COMA"""
9228,3,#N/A
9223,3,#N/A
9592,3,#N/A
3543,3,"3543  = ""3543 : RADIAL NERVE LESION"""
3548,3,"3548  = ""3548 : MONONEURITIS ARM NEC"""
77989,3,"77989 = ""77989: OT SPEC COND ORIG IN PERINATAL PERIOD (Begin 2002)"""
43883,3,"43883 = ""43883: FACIAL WEAKNESS (Begin 2002)"""
80231,3,"80231 = ""80231: FX CONDYL PROC MAND-OPEN"""
20208,3,"20208 = ""20208: NODULAR LYMPHOMA MULT"""
V1059,3,#N/A
V1053,3,#N/A
82003,3,#N/A
E9392,3,#N/A
E9390,3,#N/A
71849,3,"71849 = ""71849: JT CONTRACTURE-MULT JTS"""
E9888,3,#N/A
37133,3,"37133 = ""37133: RUPTURE DESCEMET MEMBRAN"""
1536,3,"1536  = ""1536 : MALIG NEO ASCEND COLON"""
4101,3,"04101 = ""04101: GROUP A STREPTOCOCCUS (Begin 1992)"""
38914,3,"38914 = ""38914: CENTRAL HEARING LOSS"""
35579,3,"35579 = ""35579: OTH MONONEURITIS OF LOWER LIMB (Begin 1993)"""
85200,3,#N/A
9062,3,#N/A
53490,3,"53490 = ""53490: GASTROJEJUNAL ULCER NOS"""
9164,3,#N/A
V123,3,#N/A
1519,3,"1519  = ""1519 : MALIG NEOPL STOMACH NOS"""
56481,3,"56481 = ""56481: NEUROGENIC BOWEL (Begin 1998)"""
6010,3,"6010  = ""6010 : ACUTE PROSTATITIS"""
56731,3,"56731 = ""56731: PSOAS MUSCLE ABSCESS (Begin 2005)"""
36859,3,"36859 = ""36859: COLOR DEFICIENCY NEC"""
9082,3,#N/A
3502,3,"3502  = ""3502 : ATYPICAL FACE PAIN"""
30461,3,"30461 = ""30461: DRUG DEPEND NEC-CONTIN"""
1160,3,"01160 = ""01160: TB PNEUMONIA-UNSPEC"""
797,3,"797   = ""797  : SENILITY WITHOUT MENTION OF PSYCHOSIS"""
1361,3,"01361 = ""01361: TB ENCEPHALITIS-NO EXAM"""
81240,3,#N/A
36333,3,"36333 = ""36333: POSTERIOR POLE SCAR NEC"""
80115,3,"80115 = ""80115: CL SKL BASE FX-DEEP COMA"""
6201,3,"6201  = ""6201 : CORPUS LUTEUM CYST"""
V110,3,#N/A
53511,3,"53511 = ""53511: ATRPH GASTRITIS W HMRHG (Begin 1991)"""
37171,3,"37171 = ""37171: CORNEAL ECTASIA"""
683,3,"683   = ""683  : ACUTE LYMPHADENITIS"""
30403,3,"30403 = ""30403: OPIOID DEPENDENCE-REMISS"""
7197,3,"7197  = ""7197 : DIFFICULTY IN WALKING (Begin 2003)"""
95208,3,#N/A
95203,3,#N/A
55329,3,"55329 = ""55329: VENTRAL HERNIA NEC"""
74924,3,"74924 = ""74924: BILAT CLFT PALAT/LIP-INC"""
36315,3,"36315 = ""36315: PIGMENT EPITHELIOPATHY"""
80171,3,"80171 = ""80171: OPN SKL BASE FX W/O COMA"""
80170,3,"80170 = ""80170: OP SKL BASE FX/MENIN HEM"""
80175,3,"80175 = ""80175: OP SKL BASE FX-DEEP COMA"""
80174,3,"80174 = ""80174: OP SKL BASE FX-PROL COMA"""
2731,3,"2731  = ""2731 : MONOCLON PARAPROTEINEMIA"""
V165,3,#N/A
5276,3,"5276  = ""5276 : SALIVARY GLAND MUCOCELE"""
5270,3,"5270  = ""5270 : SALIVARY GLAND ATROPHY"""
1551,3,"01551 = ""01551: TB LIMB BONES-NO EXAM"""
1552,3,"01552 = ""01552: TB LIMB BONES-EXAM UNKN"""
5602,3,"5602  = ""5602 : VOLVULUS OF INTESTINE"""
888,3,"0888  = ""0888 : ARTHROPOD-BORNE DIS NEC (Begin 1980"
85,3,"0085  = ""0085 : BACTERIAL ENTERITIS NOS"""
94107,3,#N/A
1624,3,"01624 = ""01624: TB OF URETER-CULT DX"""
29284,3,"29284 = ""29284: DRUG DEPRESSIVE SYNDROME"""
74902,3,"74902 = ""74902: UNILAT CLEFT PALATE-INC"""
4770,3,"4770  = ""4770 : RHINITIS DUE TO POLLEN"""
82000,3,#N/A
7953,3,"07953 = ""07953: HIV TYPE 2 (Begin 1993)"""
37423,3,"37423 = ""37423: CICATRICIAL LAGOPHTHALM"""
71970,3,"71970 = ""71970: DIFFICULT WALK-UNSPEC (End 2003)"""
1715,3,"01715 = ""01715: ERYTHEM NOD TB-HISTO DX"""
40211,3,"40211 = ""40211: BENIGN HYP HRT DIS W CHF"""
9953,3,"09953 = ""09953: CHLAMYDIA-LOWER GU (Begin 1992)"""
94120,3,#N/A
2359,3,"2359  = ""2359 : UNC BEHAV NEO RESP NEC"""
99762,3,#N/A
37651,3,"37651 = ""37651: ENOPHTH D/T ORBIT ATRPHY"""
7480,3,"7480  = ""7480 : CHOANAL ATRESIA"""
1725,3,"01725 = ""01725: TB PERIPH LYMPH-HISTO DX"""
E9190,3,#N/A
27200,3,#N/A
2773,3,"2773  = ""2773 : AMYLOIDOSIS"""
2774,3,"2774  = ""2774 : DIS BILIRUBIN EXCRETION"""
6268,3,"6268  = ""6268 : MENSTRUAL DISORDER NEC"""
42989,3,"42989 = ""42989: ILL-DEFINED HRT DIS NEC"""
37402,3,"37402 = ""37402: MECHANICAL ENTROPION"""
37404,3,"37404 = ""37404: CICATRICIAL ENTROPION"""
E9420,3,#N/A
5649,3,"5649  = ""5649 : FUNCT DIS INTESTINE NOS"""
8300,3,#N/A
2894,3,"2894  = ""2894 : HYPERSPLENISM"""
V1869,3,#N/A
3581,3,"3581  = ""3581 : MYASTHENIA IN OTH DIS"""
V660,3,#N/A
2270,3,"2270  = ""2270 : BENIGN NEOPLASM ADRENAL"""
28590,3,#N/A
842,3,"00842 = ""00842: PSEUDOMONAS ENTERITIS"""
E9248,3,#N/A
7915,3,"7915  = ""7915 : GLYCOSURIA"""
44023,3,"44023 = ""44023: ATHEROSCL-EXTREMITY+ULCERATION (Begin 1993)"""
4440,3,"4440  = ""4440 : ABD AORTIC EMBOLISM"""
V8525,3,#N/A
V8522,3,#N/A
58289,3,"58289 = ""58289: CHRONIC NEPHRITIS NEC"""
1612,3,"01612 = ""01612: TB OF BLADDER-EXAM UNKN"""
5568,3,"5568  = ""5568 : OTHER ULCERATIVE COLITIS (Begin 1994)"""
5562,3,"5562  = ""5562 : ULCERATIVE PROCTITIS (Begin 1994)"""
E9263,3,#N/A
6116,3,"6116  = ""6116 : GALACTORRHEA-NONOBSTET"""
37946,3,"37946 = ""37946: TONIC PUPILLARY REACTION"""
75162,3,"75162 = ""75162: CONG CYSTIC LIVER DIS"""
4581,3,"4581  = ""4581 : CHRONIC HYPOTENSION"""
37916,3,"37916 = ""37916: SCLERAL DEGEN DIS NEC"""
7700,3,"7700  = ""7700 : CONGENITAL PNEUMONIA"""
7709,3,"7709  = ""7709 : NB RESPIRATORY COND NOS"""
E8415,3,#N/A
33381,3,"33381 = ""33381: BLEPHAROSPASM"""
5799,3,"5799  = ""5799 : INTEST MALABSORPTION NOS"""
37405,3,"37405 = ""37405: TRICHIASIS W/O ENTROPION"""
36275,3,"36275 = ""36275: SENSORY RETINA DYSTROPHY"""
V4389,3,#N/A
41001,3,"41001 = ""41001: AMI ANTEROLATERAL- INIT (Begin 1989)"""
9661,3,#N/A
37054,3,"37054 = ""37054: SCLEROSING KERATITIS"""
E8259,3,#N/A
7138,3,"7138  = ""7138 : ARTHROP W OTH DIS NEC"""
5235,3,"5235  = ""5235 : PERIODONTOSIS"""
326,3,"326   = ""326  : LATE EFF CNS ABSCESS"""
2799,3,"2799  = ""2799 : IMMUNE MECHANISM DIS NOS"""
36040,3,"36040 = ""36040: DEGENERATION OF EYE NOS"""
E9443,3,#N/A
36225,3,"36225 = ""36225: RETINOPH PREMATR"
5790,3,"5790  = ""5790 : CELIAC DISEASE"""
9642,3,#N/A
7889,3,"07889 = ""07889: VIRAL DISEASE NEC"""
30081,3,"30081 = ""30081: SOMATIZATION DISORDER"""
92303,3,#N/A
4784,3,"4784  = ""4784 : VOCAL CORD/LARYNX POLYP"""
81332,3,#N/A
V560,3,#N/A
83908,3,#N/A
4380,3,"4380  = ""4380 : LATE EFF CVD COGNITIVE DEF (Begin 1997)"""
E9323,3,#N/A
36237,3,"36237 = ""36237: RETINA VENOUS ENGORGEMNT"""
2459,3,"2459  = ""2459 : THYROIDITIS NOS"""
2450,3,"2450  = ""2450 : ACUTE THYROIDITIS"""
85191,3,#N/A
36940,3,#N/A
V198,3,#N/A
66401,3,"66401 = ""66401: DEL W 1 DEG LACERAT-DEL"""
7532,3,"7532  = ""7532 : CONGEN URETERAL OBSTRUCT (End 1996)"""
6179,3,"6179  = ""6179 : ENDOMETRIOSIS NOS"""
6171,3,"6171  = ""6171 : OVARIAN ENDOMETRIOSIS"""
81354,3,#N/A
7336,3,"7336  = ""7336 : TIETZE-s DISEASE"""
37201,3,"37201 = ""37201: SEROUS CONJUNCTIVITIS"""
76512,3,"76512 = ""76512: PRETERM NEC 500-749G (Begin 1988)"""
76513,3,"76513 = ""76513: PRETERM NEC 750-999G (Begin 1988)"""
E9303,3,#N/A
7839,3,"7839  = ""7839 : NUTR/METAB/DEVEL SYM NEC"""
7835,3,"7835  = ""7835 : POLYDIPSIA"""
9352,3,#N/A
E8231,3,#N/A
1948,3,"1948  = ""1948 : MAL NEO ENDOCRINE NEC"""
3330,3,"3330  = ""3330 : DEGEN BASAL GANGLIA NEC"""
3337,3,"3337  = ""3337 : SYMPTOM TORSION DYSTONIA"""
29625,3,"29625 = ""29625: DEPR PSYCHOS-PART REMISS"""
29621,3,"29621 = ""29621: DEPRESS PSYCHOSIS-MILD"""
80021,3,"80021 = ""80021: CL SKULL VLT FX W/O COMA"""
80025,3,"80025 = ""80025: CL SKUL VLT FX-DEEP COMA"""
41410,3,"41410 = ""41410: ANEURYSM- HEART (WALL)"""
37222,3,"37222 = ""37222: CONTACT BLEPHAROCONJUNCT"""
71888,3,"71888 = ""71888: JT DERANGMENT NEC-OTH JT"""
E8146,3,#N/A
85410,3,#N/A
4341,3,"4341  = ""4341 : CEREBRAL EMBOLISM (End 1993)"""
5710,3,"5710  = ""5710 : ALCHOL FATTY LIVER"""
74687,3,"74687 = ""74687: MALPOSITION OF HEART"""
1928,3,"1928  = ""1928 : MAL NEO NERVOUS SYST NEC"""
1929,3,"1929  = ""1929 : MAL NEO NERVOUS SYST NOS"""
41081,3,"41081 = ""41081: AMI NEC- INITIAL (Begin 1989)"""
3317,3,"3317  = ""3317 : CEREB DEGEN IN OTH DIS"""
20020,3,"20020 = ""20020: BURKITT-s TUMOR UNSPEC"""
632,3,"0632  = ""0632 : CENT EUROPE ENCEPHALITIS"""
7585,3,"7585  = ""7585 : AUTOSOMAL ANOMALIES NEC"""
7571,3,"7571  = ""7571 : ICHTHYOSIS CONGENITA"""
7570,3,"7570  = ""7570 : HEREDITARY EDEMA OF LEGS"""
73310,3,"73310 = ""73310: UNSPEC PATH FX (Begin 1993)"""
25201,3,"25201 = ""25201: PRIMARY HYPERPARATHYROID (Begin 2004)"""
37561,3,"37561 = ""37561: LACRIMAL FISTULA"""
37154,3,"37154 = ""37154: LATTICE CORNEA DYSTROPHY"""
3108,3,"3108  = ""3108 : NONPSYCHOT BRAIN SYN NEC"""
34440,3,"34440 = ""34440: MONOPLEGIA ARM NOS (Begin 1994)"""
27690,3,#N/A
2382,3,"2382  = ""2382 : UNC BEHAV NEO SKIN"""
80181,3,"80181 = ""80181: OPN SKL BASE FX W/O COMA"""
2165,3,"2165  = ""2165 : BENIGN NEO SKIN TRUNK"""
E9503,3,#N/A
E9500,3,#N/A
8245,3,#N/A
5691,3,"5691  = ""5691 : RECTAL PROLAPSE"""
5969,3,"5969  = ""5969 : BLADDER DISORDER NOS"""
52400,3,"52400 = ""52400: ANOM JAW SIZE-UNSPEC (Begin 1992)"""
2594,3,"2594  = ""2594 : DWARFISM NEC"""
80061,3,"80061 = ""80061: OPN SKUL VLT FX W/O COMA"""
9233,3,#N/A
9053,3,#N/A
37262,3,"37262 = ""37262: LOCAL CONJUNCTIVA ADHES"""
20490,3,"20490 = ""20490: UNS LYM LEUK W/O RMSION (Begin 1991)"""
71592,3,"71592 = ""71592: OSTEOARTHROS NOS-UP/ARM"""
V1062,3,#N/A
774,3,"0774  = ""0774 : EPIDEM HEM CONJUNCTIVIT"""
3728,3,"3728  = ""3728 : CONJUNCTIVA DISORDER NEC (End 2000)"""
71101,3,"71101 = ""71101: PYOGEN ARTHRITIS-SHLDER"""
71102,3,"71102 = ""71102: PYOGEN ARTHRITIS-UP/ARM"""
29682,3,"29682 = ""29682: ATYPICAL DEPRESSIVE DIS"""
4118,3,"4118  = ""4118 : AC ISCHEMIC HRT DIS NEC (Begin 1980"
E9060,3,#N/A
25023,3,"25023 = ""25023: DM W/ HYPEROSMO TYPE I DM UNCONT (Begin 1993)"""
85216,3,#N/A
6029,3,"6029  = ""6029 : PROSTATIC DISORDER NOS"""
3553,3,"3553  = ""3553 : LAT POPLITEAL NERVE LES"""
2913,3,"2913  = ""2913 : ALCOHOL HALLUCINOSIS"""
20210,3,"20210 = ""20210: MYCOSIS FUNGOIDES UNSPEC"""
E9385,3,#N/A
4911,3,"4911  = ""4911 : MUCOPURUL CHR BRONCHITIS"""
V132,3,#N/A
5444,3,"05444 = ""05444: H SIMPLEX IRIDOCYCLITIS"""
1502,3,"01502 = ""01502: TB OF VERTEBRA-EXAM UNKN"""
1504,3,"01504 = ""01504: TB OF VERTEBRA-CULT DX"""
1505,3,"01505 = ""01505: TB OF VERTEBRA-HISTO DX"""
30,3,"0030  = ""0030 : SALMONELLA ENTERITIS"""
3575,3,"3575  = ""3575 : ALCOHOL POLYNEUROPATHY"""
47401,3,"47401 = ""47401: CHRON ADENOIDITIS (Begin 1997)"""
37801,3,"37801 = ""37801: MONOCULAR ESOTROPIA"""
78602,3,"78602 = ""78602: ORTHOPNEA"""
30781,3,"30781 = ""30781: TENSION HEADACHE"""
81109,3,#N/A
7473,3,"7473  = ""7473 : PULMONARY ARTERY ANOM"""
75550,3,"75550 = ""75550: UPPER LIMB ANOMALY NOS"""
2323,3,"2323  = ""2323 : CA IN SITU SKIN FACE NEC"""
43400,3,"43400 = ""43400: CEREB THROMBOSIS W/O INFARCT (Begin 1993)"""
43401,3,"43401 = ""43401: CEREB THROMBOSIS W/ INFARCTION (Begin 1993)"""
75733,3,"75733 = ""75733: CONG SKIN PIGMENT ANOMAL"""
4644,3,"4644  = ""4644 : CROUP"""
36322,3,"36322 = ""36322: HARADA-S DISEASE"""
80124,3,"80124 = ""80124: CL SKL BASE FX-PROL COMA"""
80123,3,"80123 = ""80123: CL SKUL BASE FX-MOD COMA"""
78459,3,"78459 = ""78459: Speech disturbance NEC (Begin 2009)"""
8770,3,#N/A
37145,3,"37145 = ""37145: KERATOMALACIA NOS"""
73395,2,"73395 = ""73395: STRESS FRACTURE OF OTHER BONE (Begin 2001)"""
37732,2,"37732 = ""37732: RETROBULBAR NEURITIS"""
59,2,"0059  = ""0059 : FOOD POISONING NOS"""
9251,2,#N/A
E8869,2,#N/A
36847,2,"36847 = ""36847: HETERONYMOUS HEMIANOPSIA"""
36842,2,"36842 = ""36842: SCOTOMA OF BLIND SPOT"""
2682,2,"2682  = ""2682 : OSTEOMALACIA NOS"""
99730,2,#N/A
72251,2,"72251 = ""72251: THORACIC DISC DEGEN"""
538,2,"0538  = ""0538 : H ZOSTER COMPLICATED NOS"""
E8529,2,#N/A
E8528,2,#N/A
81242,2,#N/A
11282,2,"11282 = ""11282: CANDIDAL OTITIS EXTERNA"""
3749,2,"3749  = ""3749 : DISORDER OF EYELID NOS"""
94305,2,#N/A
52102,2,"52102 = ""52102: DENTAL CARIES EXTENDING INTO DENTINE (Begin 2001)"""
52108,2,"52108 = ""52108: DENTAL CARIES-ROOT SURF (Begin 2004)"""
20080,2,"20080 = ""20080: MIXED LYMPHOSARC UNSPEC"""
80361,2,"80361 = ""80361: OPN SKUL FX NEC W/O COMA"""
37301,2,"37301 = ""37301: ULCERATIVE BLEPHARITIS"""
E975,2,#N/A
1768,2,"1768  = ""1768 : SPF STS - KPSI-S SARCOMA (Begin 1991)"""
1764,2,"01764 = ""01764: TB OF ADRENAL-CULT DX"""
29595,2,"29595 = ""29595: SCHIZOPHRENIA NOS-REMISS"""
V1200,2,#N/A
E8840,2,#N/A
E8841,2,#N/A
2513,2,"2513  = ""2513 : POSTSURG HYPOINSULINEMIA"""
3538,2,"3538  = ""3538 : NERV ROOT/PLEXUS DIS NEC"""
71516,2,"71516 = ""71516: LOC PRIM OSTEOART-L/LEG"""
V438,2,#N/A
30431,2,"30431 = ""30431: CANNABIS DEPEND-CONTIN"""
99710,2,#N/A
38500,2,"38500 = ""38500: TYMPANOSCLEROSIS NOS"""
2180,2,"2180  = ""2180 : SUBMUCOUS LEIOMYOMA"""
60785,2,"60785 = ""60785: PEYRONIES DISEASE (Begin 2003)"""
80162,2,"80162 = ""80162: OPN SKL BASE FX-BRF COMA"""
80165,2,"80165 = ""80165: OP SKL BASE FX-DEEP COMA"""
6186,2,"6186  = ""6186 : VAGINAL ENTEROCELE"""
6184,2,"6184  = ""6184 : UTERVAGINAL PROLAPSE NOS"""
2728,2,"2728  = ""2728 : LIPOID METABOL DIS NEC"""
7944,2,"7944  = ""7944 : ABN KIDNEY FUNCT STUDY"""
7239,2,"7239  = ""7239 : NECK DISORDER/SYMPT NOS"""
6235,2,"6235  = ""6235 : NONINFECT VAG LEUKORRHEA"""
6231,2,"6231  = ""6231 : LEUKOPLAKIA OF VAGINA"""
9779,2,#N/A
9778,2,#N/A
8860,2,#N/A
1705,2,"01705 = ""01705: TB SKIN/SUBCUT-HISTO DX"""
37182,2,"37182 = ""37182: CORNEAL DIS-CONTACT LENS (Begin 1992)"""
40201,2,"40201 = ""40201: MAL HYPERT HRT DIS W CHF"""
5678,2,"5678  = ""5678 : PERITONITIS NEC (End 2005)"""
24960,2,"24960 = ""24960: SEC DM NEURO NT ST UNCN (Begin 2008)"""
9942,2,#N/A
2533,2,"2533  = ""2533 : PITUITARY DWARFISM"""
57431,2,"57431 = ""57431: CHOLEDOCHLITH/AC GB-OBST"""
36801,2,"36801 = ""36801: STRABISMIC AMBLYOPIA"""
V410,2,#N/A
80440,2,#N/A
20290,2,"20290 = ""20290: LYMPHOID MAL NEC UNSPEC"""
30011,2,"30011 = ""30011: CONVERSION DISORDER"""
8058,2,#N/A
2881,2,"2881  = ""2881 : FUNCTION DIS NEUTROPHILS"""
74912,2,"74912 = ""74912: UNILAT CLEFT LIP-IMCOMPL"""
4760,2,"4760  = ""4760 : CHRONIC LARYNGITIS"""
798,2,"0798  = ""0798 : VIRAL INFECTION NEC (End 1993)"""
V4574,2,#N/A
76510,2,"76510 = ""76510: PRETERM INFANT NEC WTNOS (Begin 1988)"""
7960,2,"7960  = ""7960 : ABN TOXICOLOGIC FINDING"""
7961,2,"7961  = ""7961 : ABNORMAL REFLEX"""
6258,2,"6258  = ""6258 : FEM GENITAL SYMPTOMS NEC"""
80851,2,#N/A
71961,2,"71961 = ""71961: JOINT SYMPTOM NEC-SHLDER"""
1728,2,"1728  = ""1728 : MALIG MELANOMA SKIN NEC"""
5246,2,"5246  = ""5246 : TEMPOROMANDIBULAR JT DIS (Begin 1980"
5242,2,"5242  = ""5242 : DENTAL ARCH ANOMALY (End 2004)"""
7939,2,"7939  = ""7939 : ABN FIND-BODY STRUCT NEC"""
31531,2,"31531 = ""31531: DEVELOPMENT LANGUAGE DIS"""
5651,2,"5651  = ""5651 : ANAL FISTULA"""
217,2,"217   = ""217  : BENIGN NEOPLASM BREAST"""
6089,2,"6089  = ""6089 : MALE GENITAL DIS NOS"""
2555,2,"2555  = ""2555 : ADRENAL HYPOFUNCTION NEC"""
38832,2,"38832 = ""38832: OBJECTIVE TINNITUS"""
94132,2,#N/A
36752,2,"36752 = ""36752: TOT INTERN OPHTHALMOPLEG"""
83412,2,#N/A
85102,2,#N/A
85100,2,#N/A
71226,2,"71226 = ""71226: PYROPHOSPH CRYST-L/LEG"""
34282,2,"34282 = ""34282: OTH SPEC HEMIPLEGIA- NONDOMINANT SIDE (Begin 1994)"""
3421,2,"3421  = ""3421 : SPASTIC HEMIPLEGIA (End 1994)"""
E8587,2,#N/A
E8581,2,#N/A
81504,2,#N/A
19010,2,#N/A
74489,2,"74489 = ""74489: CONG FACE/NECK ANOM NEC"""
E9232,2,#N/A
7903,2,"7903  = ""7903 : EXCESS BLOOD ALCOHOL - LAB"""
6272,2,"6272  = ""6272 : FEMALE CLIMACTERIC STATE"""
6279,2,"6279  = ""6279 : MENOPAUSAL DISORDER NOS"""
3455,2,"3455  = ""3455 : PARTIAL EPILEPSY NEC (Begin 1980"
71943,2,"71943 = ""71943: JOINT PAIN-FOREARM"""
71949,2,"71949 = ""71949: JOINT PAIN-MULT JTS"""
5220,2,"5220  = ""5220 : PULPITIS"""
5226,2,"5226  = ""5226 : CHR APICAL PERIODONTITIS"""
3062,2,"3062  = ""3062 : PSYCHOGEN CARDIOVASC DIS"""
3061,2,"3061  = ""3061 : PSYCHOGENIC RESPIR DIS"""
20310,2,"20310 = ""20310: PLSM CELL LEUK W/O RMSON (Begin 1991)"""
7754,2,"7754  = ""7754 : HYPOCALCEM/HYPOMAGNES NB"""
75329,2,"75329 = ""75329: OTH OBSTR DEF URETER (Begin 1996)"""
V8536,2,#N/A
V8534,2,#N/A
V8538,2,#N/A
V672,2,#N/A
8921,2,#N/A
7109,2,"7109  = ""7109 : DIFF CONNECT TIS DIS NOS"""
3524,2,"3524  = ""3524 : ACCESSORY NERVE DISORDER"""
4231,2,"4231  = ""4231 : ADHESIVE PERICARDITIS"""
27789,2,"27789 = ""27789: OTHER SPECIFIED DISORDERS OF METABOLISM (Begin 2003)"""
51189,2,"51189 = ""51189: EFFUSION NEC EXC TB (Begin 2008)"""
82321,2,#N/A
2290,2,"2290  = ""2290 : BENIGN NEO LYMPH NODES"""
7290,2,"7290  = ""7290 : RHEUMATISM NOS"""
86804,2,#N/A
3438,2,"3438  = ""3438 : CEREBRAL PALSY NEC"""
71693,2,"71693 = ""71693: ARTHROPATHY NOS-FOREARM"""
71926,2,"71926 = ""71926: VILLONOD SYNOVIT-L/LEG"""
V025,2,#N/A
33989,2,"33989 = ""33989: HEADACHE SYNDROME NEC (Begin 2008)"""
E9410,2,#N/A
E9413,2,#N/A
23772,2,"23772 = ""23772: NEUROFIBROMATOSIS TYP II (Begin 1990)"""
82133,2,#N/A
82130,2,#N/A
3950,2,"3950  = ""3950 : RHEUMAT AORTIC STENOSIS"""
55093,2,"55093 = ""55093: RECUR BILAT INGUIN HERN"""
27540,2,"27540 = ""27540: UNSPEC DISORDER CALCIUM METAB (Begin 1997)"""
52511,2,"52511 = ""52511: LOSS OF TEETH DUE TO TRAUMA (Begin 2001)"""
38872,2,"38872 = ""38872: REFERRED PAIN OF EAR"""
42099,2,"42099 = ""42099: ACUTE PERICARDITIS NEC"""
87210,2,#N/A
85146,2,#N/A
85145,2,#N/A
85141,2,#N/A
2829,2,"2829  = ""2829 : HERED HEMOLYTIC ANEM NOS"""
1401,2,"01401 = ""01401: TB PERITONITIS-NO EXAM"""
